MB_CODE16,lat,lon
"10018730000",-33.84474960,151.03966770
"10018740000",-33.84319840,151.03728800
"10018750000",-33.84789690,151.03714950
"10018760000",-33.84697540,151.03968060
"10018770000",-33.87091870,151.03014590
"10018781000",-33.86354170,151.03544540
"10018782000",-33.86311860,151.03656510
"10018790000",-33.86110040,151.03830410
"10018800000",-33.87817400,151.03479970
"10018810000",-33.88114810,151.03191320
"10018820000",-33.88581720,151.03312110
"10018830000",-33.85587090,151.04205320
"10018840000",-33.85300440,151.05042410
"10018850000",-33.85517410,151.04770360
"10018860000",-33.84531070,151.03217790
"10018870000",-33.84333370,151.03070060
"10018880000",-33.86547250,151.03113630
"10018890000",-33.86030970,151.03453130
"10018900000",-33.85852570,151.03206080
"10018910000",-33.84618970,151.02300510
"10018920000",-33.84771050,151.02695850
"10018932000",-33.85114480,151.02777290
"10018960000",-33.86231220,151.02234030
"10018970000",-33.87698910,151.02534220
"10018980000",-33.86944650,151.03190500
"10018990000",-33.83864710,151.05733940
"10019000000",-33.83882610,151.05471610
"10019011000",-33.85586380,151.03688620
"10019012000",-33.85455060,151.03737970
"10019021000",-33.86658460,151.04355610
"10019022000",-33.86566850,151.04258780
"10019023000",-33.86618690,151.04307480
"10019024000",-33.86609750,151.04258460
"10019031000",-33.86769660,151.04636760
"10019032000",-33.86508820,151.04666490
"10019033000",-33.86628250,151.04715690
"10019041000",-33.87288440,151.02009540
"10019042000",-33.87297470,151.02163240
"10019045000",-33.87238850,151.01799350
"10019050000",-33.86684700,151.02004870
"10019060000",-33.86661740,151.02306430
"10019070000",-33.86406620,151.02807190
"10019080000",-33.86756030,151.02622160
"10019090000",-33.86281670,151.02565210
"10019110000",-33.85641750,151.02545850
"10019123000",-33.84268650,151.05029280
"10019124000",-33.84057720,151.05101670
"10019125000",-33.84156010,151.05230460
"10019130000",-33.86068910,151.04032460
"10019140000",-33.88165450,151.03841610
"10019150000",-33.83430560,151.06118440
"10019160000",-33.84442670,151.03801450
"10019170000",-33.84708570,151.03823730
"10019180000",-33.84824960,151.03917000
"10019190000",-33.84985390,151.03700130
"10019200000",-33.84851770,151.03528980
"10019210000",-33.84563240,151.03661940
"10019220000",-33.84653580,151.03449660
"10019230000",-33.84682910,151.03274450
"10019240000",-33.88266430,151.02471330
"10019252000",-33.85047210,151.03449090
"10019253000",-33.85035720,151.03472720
"10019254000",-33.84976890,151.03513520
"10019260000",-33.85128130,151.02199810
"10019271000",-33.83275430,151.07455800
"10019272000",-33.83101570,151.07452350
"10019273000",-33.83182250,151.07496650
"10019280000",-33.87295910,151.04528410
"10019290000",-33.87324610,151.03378240
"10019300000",-33.85468380,151.03410480
"10019310000",-33.85697330,151.03489110
"10019320000",-33.85601950,151.03245460
"10019330000",-33.85230780,151.03456780
"10019340000",-33.86344470,151.04994810
"10019360000",-33.85918390,151.04793590
"10019370000",-33.87467880,151.02933080
"10019380000",-33.84597680,151.04040430
"10019390000",-33.84579770,151.03871620
"10019400000",-33.86984930,151.02700500
"10019410000",-33.86244070,151.03198950
"10019420000",-33.87749770,151.03035360
"10019430000",-33.87854470,151.03373920
"10019440000",-33.88015100,151.03622210
"10019450000",-33.88080860,151.02960820
"10019461000",-33.88416230,151.03220050
"10019462000",-33.88565760,151.03153410
"10019470000",-33.88310320,151.02771840
"10019481000",-33.88466550,151.02481640
"10019482000",-33.88476960,151.02536960
"10019490000",-33.85945990,151.04498740
